25/12/13,14:27:06,szk.Open,start<                                               
25/12/13,14:27:06,szk.Close,start<                                              
25/12/13,14:27:06,BtPt208Init,start<                                            
25/12/13,14:27:06,Lbl.Open,P00.dat<                                             
25/12/13,14:27:06,Lbl.Open result, 0(0x0)                                       
25/12/13,14:27:06,main syori$,LIVE<                                             
25/12/13,14:27:07,FD_ZERO,socket18<                                             
25/12/13,14:27:07,FD_SET,socket19<                                              
25/12/13,14:27:07,select(),socket17<                                            
25/12/13,14:27:07,Sock.Send:ETC;ƒAƒ“ƒeƒiŒÌá,Err:0x107 Erl:0x5A7F<              
25/12/13,14:27:07,select(),ƒŠƒgƒ‰ƒC= 1<                                         
25/12/13,14:27:07,FD_ZERO,socket18<                                             
25/12/13,14:27:07,FD_SET,socket19<                                              
25/12/13,14:27:07,select(),socket17<                                            
25/12/13,14:27:07,Sock.Send:ETC;ƒAƒ“ƒeƒiŒÌá,Err:0x107 Erl:0x5A7F<              
25/12/13,14:27:07,select(),ƒŠƒgƒ‰ƒC= 2<                                         
25/12/13,14:27:07,FD_ZERO,socket18<                                             
25/12/13,14:27:07,FD_SET,socket19<                                              
25/12/13,14:27:07,select(),socket17<                                            
25/12/13,14:27:07,Sock.Send:ETC;ƒAƒ“ƒeƒiŒÌá,Err:0x107 Erl:0x5A7F<              
25/12/13,14:27:07,select(),ƒŠƒgƒ‰ƒC= 3<                                         
25/12/13,14:27:07,FD_ZERO,socket18<                                             
25/12/13,14:27:07,FD_SET,socket19<                                              
25/12/13,14:27:07,select(),socket17<                                            
25/12/13,14:27:07,Sock.Send:ETC;ƒAƒ“ƒeƒiŒÌá,Err:0x107 Erl:0x5A7F<              
25/12/13,14:27:07,select(),Error<                                               
25/12/13,14:27:07,Sock.Send,select<                                             
25/12/13,14:27:07,shutdown,socket25<                                            
25/12/13,14:27:07,Sock.discon,Err:0x107 Erl:0x588E<                             
25/12/13,14:27:07,close,socket28<                                               
25/12/13,14:27:07,Sock.discon,Err:0x107 Erl:0x58C4<                             
25/12/13,14:27:07,’ÊMŒo˜H‚ÌØ’f,socket43<                                      
25/12/13,14:27:07,Sock.discon,Err:0x104 Erl:0x5900<                             
25/12/13,14:27:07,Sock.Discon,<                                                 
25/12/13,14:27:07,com3.fnm$,COM3:<                                              
25/12/13,14:27:07,“¯Šúƒ`ƒFƒbƒN,192.168.1.30/ 22222<                             
25/12/13,14:27:07,Sock.Sync,ŠJn<                                               
25/12/13,14:27:07,Sock.Sync, 0<                                                 
25/12/13,14:27:07,tcp/ip’ÊMŒo˜H,socket40<                                      
25/12/13,14:27:07,tcp/ip’ÊMŒo˜H,socket41<                                      
25/12/13,14:27:07,socket,socket26<                                              
25/12/13,14:27:07,socket,socket24<                                              
25/12/13,14:27:07,htonl, 22222<                                                 
25/12/13,14:27:07,Sock.Svip$,192.168.1.30<                                      
25/12/13,14:27:07,FD_ZERO,socket18<                                             
25/12/13,14:27:07,FD_SET,socket19<                                              
25/12/13,14:27:07,select(),socket17<                                            
25/12/13,14:27:07,FD_ISSET,socket21<                                            
25/12/13,14:27:07,Sock.Send,select<                                             
25/12/13,14:27:07,Send,<                                                        
25/12/13,14:27:07,FD_ZERO,socket18<                                             
25/12/13,14:27:07,FD_SET,socket19<                                              
25/12/13,14:27:07,select(),socket17<                                            
25/12/13,14:27:07,FD_ISSET,socket21<                                            
25/12/13,14:27:07,Recv,socket14<                                                
25/12/13,14:27:07,RECVDATA,0^ƒVƒXƒeƒ€<                                         
25/12/13,14:27:07,main syori$,MENU<                                             
25/12/13,14:27:16,main syori$,İŒÉ’I‰µ<                                         
25/12/13,14:27:17,FD_ZERO,socket18<                                             
25/12/13,14:27:17,FD_SET,socket19<                                              
25/12/13,14:27:17,select(),socket17<                                            
25/12/13,14:27:17,FD_ISSET,socket21<                                            
25/12/13,14:27:17,Sock.Send,select<                                             
25/12/13,14:27:17,Send,<                                                        
25/12/13,14:27:17,FD_ZERO,socket18<                                             
25/12/13,14:27:17,FD_SET,socket19<                                              
25/12/13,14:27:17,select(),socket17<                                            
25/12/13,14:27:17,FD_ISSET,socket21<                                            
25/12/13,14:27:17,Recv,socket14<                                                
25/12/13,14:27:17,RECVDATA,0^ƒVƒXƒeƒ€<                                         
25/12/13,14:27:20,FD_ZERO,socket18<                                             
25/12/13,14:27:20,FD_SET,socket19<                                              
25/12/13,14:27:20,select(),socket17<                                            
25/12/13,14:27:20,FD_ISSET,socket21<                                            
25/12/13,14:27:20,Sock.Send,select<                                             
25/12/13,14:27:20,Send,<                                                        
25/12/13,14:27:20,FD_ZERO,socket18<                                             
25/12/13,14:27:20,FD_SET,socket19<                                              
25/12/13,14:27:20,select(),socket17<                                            
25/12/13,14:27:20,FD_ISSET,socket21<                                            
25/12/13,14:27:20,Recv,socket14<                                                
25/12/13,14:27:20,RECVDATA,0^ƒVƒXƒeƒ€<                                         
25/12/13,14:27:21,FD_ZERO,socket18<                                             
25/12/13,14:27:21,FD_SET,socket19<                                              
25/12/13,14:27:21,select(),socket17<                                            
25/12/13,14:27:22,FD_ISSET,socket21<                                            
25/12/13,14:27:22,Sock.Send,select<                                             
25/12/13,14:27:22,Send,<                                                        
25/12/13,14:27:22,FD_ZERO,socket18<                                             
25/12/13,14:27:22,FD_SET,socket19<                                              
25/12/13,14:27:22,select(),socket17<                                            
25/12/13,14:27:22,FD_ISSET,socket21<                                            
25/12/13,14:27:22,Recv,socket14<                                                
25/12/13,14:27:22,RECVDATA,0^ƒVƒXƒeƒ€<                                         
25/12/13,14:27:23,FD_ZERO,socket18<                                             
25/12/13,14:27:23,FD_SET,socket19<                                              
25/12/13,14:27:23,select(),socket17<                                            
25/12/13,14:27:23,FD_ISSET,socket21<                                            
25/12/13,14:27:23,Sock.Send,select<                                             
25/12/13,14:27:23,Send,<                                                        
25/12/13,14:27:23,FD_ZERO,socket18<                                             
25/12/13,14:27:23,FD_SET,socket19<                                              
25/12/13,14:27:23,select(),socket17<                                            
25/12/13,14:27:23,FD_ISSET,socket21<                                            
25/12/13,14:27:23,Recv,socket14<                                                
25/12/13,14:27:23,RECVDATA,0^ƒVƒXƒeƒ€<                                         
25/12/13,14:27:26,FD_ZERO,socket18<                                             
25/12/13,14:27:26,FD_SET,socket19<                                              
25/12/13,14:27:26,select(),socket17<                                            
25/12/13,14:27:26,FD_ISSET,socket21<                                            
25/12/13,14:27:26,Sock.Send,select<                                             
25/12/13,14:27:26,Send,<                                                        
25/12/13,14:27:26,FD_ZERO,socket18<                                             
25/12/13,14:27:26,FD_SET,socket19<                                              
25/12/13,14:27:26,select(),socket17<                                            
25/12/13,14:27:26,FD_ISSET,socket21<                                            
25/12/13,14:27:26,Recv,socket14<                                                
25/12/13,14:27:26,RECVDATA,0^ƒVƒXƒeƒ€<                                         
25/12/13,14:27:27,FD_ZERO,socket18<                                             
25/12/13,14:27:27,FD_SET,socket19<                                              
25/12/13,14:27:27,select(),socket17<                                            
25/12/13,14:27:27,FD_ISSET,socket21<                                            
25/12/13,14:27:27,Sock.Send,select<                                             
25/12/13,14:27:27,Send,<                                                        
25/12/13,14:27:27,FD_ZERO,socket18<                                             
25/12/13,14:27:27,FD_SET,socket19<                                              
25/12/13,14:27:27,select(),socket17<                                            
25/12/13,14:27:27,FD_ISSET,socket21<                                            
25/12/13,14:27:27,Recv,socket14<                                                
25/12/13,14:27:27,RECVDATA,0^ƒVƒXƒeƒ€<                                         
25/12/13,14:27:32,FD_ZERO,socket18<                                             
25/12/13,14:27:32,FD_SET,socket19<                                              
25/12/13,14:27:32,select(),socket17<                                            
25/12/13,14:27:32,FD_ISSET,socket21<                                            
25/12/13,14:27:32,Sock.Send,select<                                             
25/12/13,14:27:32,Send,<                                                        
25/12/13,14:27:32,FD_ZERO,socket18<                                             
25/12/13,14:27:32,FD_SET,socket19<                                              
25/12/13,14:27:32,select(),socket17<                                            
25/12/13,14:27:32,FD_ISSET,socket21<                                            
25/12/13,14:27:32,Recv,socket14<                                                
25/12/13,14:27:32,RECVDATA,0^ƒVƒXƒeƒ€<                                         
25/12/13,14:27:33,FD_ZERO,socket18<                                             
25/12/13,14:27:33,FD_SET,socket19<                                              
25/12/13,14:27:33,select(),socket17<                                            
25/12/13,14:27:33,FD_ISSET,socket21<                                            
25/12/13,14:27:33,Sock.Send,select<                                             
25/12/13,14:27:33,Send,<                                                        
25/12/13,14:27:33,FD_ZERO,socket18<                                             
25/12/13,14:27:33,FD_SET,socket19<                                              
25/12/13,14:27:33,select(),socket17<                                            
25/12/13,14:27:33,FD_ISSET,socket21<                                            
25/12/13,14:27:33,Recv,socket14<                                                
25/12/13,14:27:33,RECVDATA,0^ƒVƒXƒeƒ€<                                         
25/12/13,14:27:40,FD_ZERO,socket18<                                             
25/12/13,14:27:40,FD_SET,socket19<                                              
25/12/13,14:27:40,select(),socket17<                                            
25/12/13,14:27:40,FD_ISSET,socket21<                                            
25/12/13,14:27:40,Sock.Send,select<                                             
25/12/13,14:27:40,Send,<                                                        
